,"Динамика ВРП на душу населения в 2015 году, руб.","Динамика ВРП на душу населения в 2016 году, руб.","Динамика ВРП на душу населения в 2017 году, руб.","Динамика ВРП на душу населения в 2018 году, руб.","Динамика ВРП на душу населения в 2019 году, руб.","Динамика ВРП на душу населения в 2020 году, руб."
Белгородская область,11.675766,12.029877,7.628147,9.064136,4.890073,4.719995
Брянская область,12.740296,17.040302,8.454946,8.522607,9.159733,4.440373
Владимирская область,12.969673,17.786271,4.949539,7.633849,12.777785,4.02557
Воронежская область,12.195301,2.630779,5.489177,9.091864,5.609904,6.633421
Ивановская область,19.622262,14.778905,3.998715,10.456211,8.364727,9.707819
Калужская область,3.805115,20.271714,11.491339,11.35162,7.894064,3.008931
Костромская область,9.851834,6.514939,5.512441,8.380728,6.621344,1.423586
Курская область,12.922476,12.18988,7.021762,12.219038,10.692153,8.400413
Липецкая область,12.864908,11.720785,4.456107,16.340399,-5.180549,9.320559
Московская область,14.495216,30.515695,0.728834,6.997084,9.062597,1.944662
Орловская область,17.23284,10.52494,1.948803,8.02117,8.517371,8.160804
Рязанская область,9.827746,13.768773,8.351074,5.882611,5.367024,5.235909
Смоленская область,9.898775,11.19515,11.074286,7.449716,4.680529,4.16768
Тамбовская область,12.026859,2.143062,0.79136,11.172638,1.929076,8.03047
Тверская область,4.921749,21.423167,6.701556,13.170663,3.949852,2.136319
Тульская область,16.73352,16.202132,8.147352,12.950472,3.120227,5.10707
Ярославская область,13.172524,12.639917,7.412959,9.657928,4.486622,2.517327
Москва,4.843929,11.009986,8.593515,12.481232,4.056931,0.775155
Республка Карелия,11.306943,17.527419,9.778209,11.951465,8.781363,-1.061029
Республика Коми,10.102139,10.398436,6.163963,15.796402,4.787031,-14.194402
Ненецкий автономный округ,20.35358,14.479698,1.352634,20.696279,3.208584,-30.863851
Вологодская область,23.972945,6.802249,6.914681,14.230601,3.067764,0.565379
Калининградская область,10.613783,18.179806,6.110773,9.557297,4.419502,2.733669
Ленинградская область,20.292396,11.732144,4.105681,12.724159,4.919868,0.554814
Мурманская область,23.03609,16.954124,3.228948,9.391269,19.363041,29.452106
Новгородская область,12.445498,8.653111,1.993846,2.231607,6.389838,3.10857
Псковская область,10.075149,18.538792,4.97889,10.04361,9.980022,3.726726
Санкт-Петербург,26.143147,19.998933,3.225574,10.6602,6.633976,2.163999
Республика Адыгея,10.854446,19.367602,8.291023,9.173945,9.065095,7.300524
Республика Калмыкия,11.960839,34.54859,15.875368,8.474485,4.113006,5.435989
Республика Крым,39.140862,35.777593,5.968199,13.635546,7.31059,10.167445
Краснодарский край,7.248202,15.495835,6.479525,2.476138,2.141915,1.506603
Астраханская область,8.656389,14.464667,20.181291,31.171942,4.591636,-11.64297
Волгоградская область,3.971531,11.983728,3.491372,9.721394,4.248478,2.490191
Ростовская область,18.131537,15.784894,5.037313,7.757133,6.067412,3.594383
Севастополь,53.038804,77.046434,10.737205,18.15336,10.971225,-3.775534
Республика Дагестан,6.865965,7.559639,2.732332,4.954702,5.471516,3.344053
Республика Ингушетия,-5.536945,14.052734,3.018382,8.962352,6.421058,-2.417873
Республика Кабардино-Балкария,2.885694,26.64116,1.261923,3.988565,5.705079,6.822795
Республика Карачаево-Черкессия,3.525396,16.684714,5.574126,3.68793,7.4154,4.96473
Республика Северная Осетия-Алания,0.088553,18.223563,2.641981,5.918465,7.917238,7.914746
Республика Чечня,1.875439,28.517959,5.50461,2.140113,6.406883,3.895216
Ставропольский край,14.721779,14.612462,3.246749,6.758592,5.429577,4.41406
Республика Башкортостан,4.47356,8.035473,4.769323,17.131185,4.389763,-4.999428
Республика Марий Эл,19.976958,-0.265678,4.542757,8.477178,6.13839,-3.118335
Республика Мордовия,4.0284,23.838608,5.886135,4.907484,8.198292,3.208263
Республика Татарстан,11.945925,9.793016,9.67268,15.614561,6.481436,-5.737615
Республика Удмуртия,14.966519,10.111289,3.961019,15.206012,6.516062,-5.853664
Республика Чувашия,5.980487,13.372664,4.39445,7.327119,7.894183,3.179852
Пермский край,9.232229,7.983694,8.789242,14.662308,5.563659,-5.569684
Кировская область,11.634097,11.650393,6.396347,7.299798,5.671173,7.866028
Нижегородская область,9.784876,16.524911,8.62459,8.785991,8.507415,-1.590946
Оренбургская область,6.339818,5.440194,7.589999,22.086965,5.15347,-4.589502
Пензенская область,16.799385,4.895101,5.642971,10.260167,10.318442,10.97731
Самарская область,10.163156,8.050167,6.374915,12.547565,4.064743,-4.803428
Саратовская область,10.529164,12.414762,4.526352,6.990793,5.787681,7.369162
Ульяновская область,9.63814,20.982661,2.595242,3.76148,9.440163,5.734547
Курганская область,6.286536,13.661622,4.90151,3.854861,9.48997,4.802163
Свердловская область,9.705294,15.707858,7.164668,7.434768,4.544034,0.307212
Ханты-Мансийский автономный округ - Югра,9.258042,-1.787618,12.671814,26.011177,0.655229,-27.033445
Ямало-Ненецкий автономный округ,10.268801,13.610075,20.604405,23.611869,1.052347,-11.172182
Челябинская область,21.480934,10.135126,6.40827,7.801164,1.984741,4.999273
Республика Алтай,6.705766,11.636337,1.385791,11.20308,8.549848,5.506642
Республика Тыва,2.28621,21.727476,11.068401,12.258657,6.571641,3.599018
Республика Хакасия,7.3315,21.692887,4.937474,11.245459,6.060744,4.520188
Алтайский край,9.708049,9.560535,3.00304,7.061449,9.580156,7.311375
Красноярский край,17.887178,8.974839,8.325171,20.144541,13.571656,1.449548
Иркутская область,9.445565,13.86715,11.531886,15.421138,6.118738,-2.157474
Кемеровская область,12.482315,7.433682,22.044016,16.096903,-11.710091,-5.792612
Новосибирская область,11.486153,4.58118,9.223354,10.075123,8.083064,-3.583364
Омская область,2.456932,8.458532,5.004944,5.964007,5.916588,-0.182812
Томская область,9.235116,10.29035,6.325814,10.542896,1.647155,-10.279825
Республика Бурятия,8.289404,8.53363,1.619527,15.18194,10.459762,5.944649
Забайкальский край,5.817542,13.149881,10.356898,11.526302,7.934635,17.363227
Республика Саха - Якутия,13.303466,18.606088,5.656563,19.352884,7.873721,-7.194211
Камчатский край,21.049098,28.271259,1.909133,15.33376,6.708659,5.808086
Приморский край,11.978631,20.271634,5.719629,7.104034,10.985213,3.793816
Хабаровский край,10.688761,13.113852,4.003432,9.604689,5.939844,8.089297
Амурская область,19.94641,7.806586,1.011015,12.293604,24.089937,9.653781
Магаданская область,31.522516,23.370267,5.998673,10.626869,22.793669,34.052542
Сахалинская область,5.19728,-8.855563,2.58013,56.82246,-4.619036,-14.230395
Еврейская автономная область,7.566171,10.365915,15.238833,0.071275,4.859673,12.598887
Чукотский автономный округ,7.321453,17.748183,1.794141,14.660323,12.669656,26.631578
Архангельская область,13.519353,13.583206,10.279601,11.594559,3.388428,0.840019
Тюменская область,11.230776,5.056898,10.315827,19.885583,-5.852472,-7.854645
