Ленинградская область,0.186816,1.222156,1.515531,0.897663,0.997247,3.079034,2.609422,104.3,101.0,104.4,100.7,100.8,48286.0,6.833157,8.298687,10.927211,99.3,102.2,101.1,20.292396,11.732144,4.105681,12.724159,4.919868,0.554814,661328.6,12.5,17.5,17.1,16.7,156780.0,298432.0,11.731726,9.558551,7.131729,7.721153,6.424988,8.458311,16.736425,0.178386,0.852957,4.42214,-0.6000000000000014,-0.6999999999999993,-0.5999999999999996,0.4000000000000003,-0.1000000000000014,31.5,6.4,62.1,19.0,17.0,64.1,0.0,0.0,0.0,1.434337,-8.23335,-6.457208,-3.900735,-1.550905,-1.41705,0.4098106178205526,0.3183153770812928,0.3201921152691614,0.2495899593524923,0.2003561887800534,0.2864249641968794,0.0964677945978035,0.1055249868093766
Мурманская область,-0.536096,-0.536416,-0.889238,-1.151869,-1.147826,6.431046,4.787847,94.2,100.2,102.0,100.8,100.4,69135.0,6.516776,6.013963,11.771162,99.2,104.8,105.1,23.03609,16.954124,3.228948,9.391269,19.363041,29.452106,1072337.1,16.4,18.1,25.9,22.8,196946.0,262676.0,2.098545,1.281089,6.270408,4.420469,6.35465,1.036392,8.16656,0.216854,0.582095,2.100208,-0.6999999999999993,-0.6999999999999993,-1.4000000000000004,0.6999999999999993,-0.5,42.3,2.8,54.8,38.5,5.9,55.5,36.9,6.2,56.9,-5.857787,-8.708849,-5.409207,-9.598486,-3.080604,-6.912514,0.5824815913836686,0.3735699276208265,0.5242966751918159,0.5272407732864675,0.493494840735756,0.3857429409041815,0.0149543891132047,0.0
Новгородская область,-0.486663,-0.987067,-0.631022,-0.68616,-1.06108,2.811166,1.019113,91.8,97.6,94.2,97.7,96.8,34169.0,5.951568,5.004657,7.338542,99.0,98.0,102.4,12.445498,8.653111,1.993846,2.231607,6.389838,3.10857,471333.3,18.0,18.8,25.0,25.3,155324.0,232454.0,11.624733,1.93794,3.861605,4.12388,5.366364,1.566596,13.643319,0.30727,1.257232,5.921222,0.9000000000000004,-0.9000000000000004,-0.3000000000000007,0.200000000000001,-0.200000000000001,30.4,11.0,58.5,24.0,12.0,64.0,38.8,4.7,56.5,-1.480174,-14.073053,-6.191851,-11.354309,-5.748457,-6.385591,0.2851711026615969,0.372157133011716,0.4170676932948348,0.3248974008207934,0.3665123456790123,0.2455996725337699,0.1736111111111111,0.1637331150225133
Псковская область,-0.727068,-0.874854,-0.561581,-0.936889,-1.111328,6.884422,3.573108,95.0,101.0,98.6,101.4,99.8,31496.0,3.925208,5.625251,13.576229,97.1,104.9,103.9,10.075149,18.538792,4.97889,10.04361,9.980022,3.726726,325659.6,18.1,16.8,23.8,24.7,144799.0,234834.0,8.220361,-1.412873,7.939128,6.222377,8.71794,4.333467,16.881682,0.33227,1.136045,4.42826,0.0,-1.3000000000000007,-0.6999999999999993,-0.8000000000000007,0.0,38.1,5.2,56.7,34.1,3.7,62.1,38.0,10.1,51.9,-0.598636,-14.509804,-3.849934,-9.217925,-6.25,0.780781,0.5151051092858138,0.4621848739495798,0.3112712975098296,0.2896575225762481,0.3378378378378378,0.2002002002002001,0.2252252252252252,0.2002002002002001
Санкт-Петербург,0.654893,1.332102,0.263267,-0.254202,-0.127016,4.822329,4.320634,100.4,103.1,104.2,101.1,101.1,68667.0,10.220201,10.342279,12.43208,103.0,104.7,101.0,26.143147,19.998933,3.225574,10.6602,6.633976,2.163999,971158.0,13.8,12.6,12.8,19.8,197144.0,357665.0,11.466745,6.915586,6.177138,5.475828,5.665476,1.966356,26.163164,0.248535,0.956262,7.471739,-0.1999999999999993,-1.0000000000000009,-0.7999999999999998,-0.0999999999999996,-0.5,26.6,0.0,73.4,25.7,9.8,64.6,0.0,0.0,0.0,3.045599,-8.67328,-3.858289,-7.802782,-6.030815,-3.67972,0.4383174266525274,0.3938034275991712,0.3696024519967547,0.3734958587279262,0.3627303083207621,0.3445228088529735,0.0,0.0
Республика Адыгея,0.514058,0.002206,1.834879,0.017059,1.116876,5.669074,4.046024,102.2,101.6,102.3,102.7,101.4,32161.0,4.627156,5.976027,12.164149,97.7,105.7,102.9,10.854446,19.367602,8.291023,9.173945,9.065095,7.300524,309184.1,17.6,15.5,24.4,20.2,164975.0,299840.0,-1.426883,8.912748,7.41044,10.16926,5.669272,4.505843,29.550178,0.304693,1.29991,3.805355,-0.5,-0.4000000000000003,-0.1999999999999993,-0.200000000000001,-0.0999999999999996,38.5,10.7,50.8,39.5,11.5,49.0,37.7,10.8,51.5,-2.886157,-12.217942,-5.726228,-6.87209,5.165437,3.055681,0.338499910921076,0.1100715465052284,0.3343782654127482,0.2438483706495234,0.3808616995953344,0.1584427342688999,0.0952154248988336,0.1584427342688999
Республика Калмыкия,-0.652614,-0.860322,-0.554563,-0.424512,-0.825234,8.347969,7.040199,96.0,98.8,101.3,102.6,102.4,32013.0,6.012233,7.510085,13.656791,99.5,104.9,107.6,11.960839,34.54859,15.875368,8.474485,4.113006,5.435989,344933.1,16.8,15.5,25.0,24.3,62779.0,97566.0,1.98474,5.540023,5.03463,9.688055,6.915864,3.325564,13.446199,0.619594,1.567098,3.955467,-2.8000000000000007,-2.3999999999999986,-0.6999999999999993,-0.1000000000000014,-0.8000000000000007,37.5,5.4,57.1,36.8,2.1,61.1,0.0,0.0,0.0,-8.658122,-13.287514,0.495376,-7.295432,-1.736973,-4.401154,0.3400470834423227,0.429553264604811,0.0990752972258916,0.1971738416036806,0.0,0.1082251082251082,0.1417936901807869,0.1803751803751803
Республика Крым,0.590269,0.08174,0.042054,-0.577427,-0.272668,3.90262,2.620283,102.1,106.4,105.9,99.0,99.5,34181.0,7.575758,8.388567,13.281101,96.2,105.3,101.5,39.140862,35.777593,5.968199,13.635546,7.31059,10.167445,270363.8,12.6,10.2,13.6,15.5,79010.0,176044.0,42.913555,1.963406,4.38102,11.452275,7.256981,3.070444,18.891613,0.254905,1.335641,3.470167,0.1999999999999993,-3.900000000000002,-2.099999999999998,-0.1000000000000014,0.0,42.2,6.3,51.5,44.9,5.5,49.6,40.2,7.5,52.3,-3.991483,-8.841052,-3.067455,-5.43826,-1.80077,-3.688785,0.258861842929314,0.2522287453794303,0.2337563209617403,0.1820955755696638,0.187363380868117,0.2543989824040704,0.2758405329447277,0.2861988552045791
Краснодарский край,1.108956,0.582935,0.482044,0.149503,0.060363,3.785058,3.265775,99.1,98.5,101.1,99.9,100.4,38499.0,7.348601,5.599638,11.544673,100.3,102.2,103.2,7.248202,15.495835,6.479525,2.476138,2.141915,1.506603,460720.2,15.4,16.1,23.3,25.7,196892.0,335663.0,7.492432,6.385723,3.886143,3.966072,6.210061,1.381791,28.185613,0.333001,1.186909,4.51811,-0.0999999999999996,-0.6999999999999993,-0.5999999999999996,0.0999999999999996,0.0,40.5,11.6,47.9,42.5,8.4,49.1,41.2,5.2,53.6,-0.493448,-9.283798,-4.867521,-3.934375,-3.193384,-0.111421,0.2831257078142695,0.2777551960545213,0.2494249783433402,0.2166575084386529,0.2500449427184624,0.2346585633493711,0.1242053310235499,0.1536253903941926
Астраханская область,-0.260554,-0.132697,-0.816812,-0.795799,-0.836659,5.496409,0.913059,90.1,97.1,100.6,100.7,97.1,38885.0,7.819915,7.660132,13.618703,101.4,103.0,104.5,8.656389,14.464667,20.181291,31.171942,4.591636,-11.64297,526950.9,18.8,20.5,27.7,31.4,162393.0,196096.0,5.228058,-3.88687,-0.250851,4.200111,4.945815,-2.58215,12.358546,0.271469,0.756698,2.302639,1.900000000000002,-0.6000000000000014,-0.4000000000000003,0.4000000000000003,0.0999999999999996,40.2,4.2,55.5,35.0,5.2,59.8,43.4,4.7,51.9,-4.067227,-13.658024,-4.228553,-6.737288,-0.854157,-1.851343,0.5983193277310924,0.4274702172389628,0.4220436652869085,0.4830508474576271,0.4906860517946388,0.4674182018146824,0.1635620172648796,0.1191458161488406
Волгоградская область,-0.448112,-0.549305,-0.656947,-0.661572,-1.00119,5.895761,2.922427,90.2,98.8,100.1,101.0,98.7,35962.0,9.002094,5.302403,10.485659,101.9,103.6,104.2,3.971531,11.983728,3.491372,9.721394,4.248478,2.490191,394256.5,18.0,26.7,24.7,25.1,126856.0,194191.0,7.168758,0.077234,6.711256,6.714146,7.786541,0.268267,15.972313,0.255043,1.09373,4.027462,0.200000000000001,-0.8000000000000007,-0.1999999999999993,-0.5,-1.0,34.6,6.3,59.1,41.6,9.9,48.4,35.3,4.7,59.9,-3.710739,-11.325208,-6.78902,-10.10058,-6.78392,-0.549255,0.4748660199443728,0.4262364379315204,0.2860207365033965,0.3366859870439823,0.2607376505167346,0.3356558002339419,0.151701905755191,0.1576565122310939
Ростовская область,-0.143326,-0.257672,-0.10706,-0.38913,-0.662994,5.695137,2.194979,96.7,100.6,102.3,100.9,98.6,35622.0,6.721849,6.785567,10.34386,100.1,102.7,102.1,18.131537,15.784894,5.037313,7.757133,6.067412,3.594383,403949.1,19.3,20.3,26.2,27.8,177702.0,277842.0,9.508616,3.570933,3.369421,4.942906,6.240938,0.248835,19.317186,0.328329,1.627031,4.385638,-0.200000000000001,-0.2999999999999989,-0.7000000000000011,0.1000000000000014,-0.3000000000000007,40.1,3.8,56.1,38.1,4.5,57.4,39.4,9.8,50.8,-3.718766,-11.50597,-5.642756,-8.137357,-3.409843,-1.926819,0.4203652289524107,0.4305093006254569,0.3923998347790169,0.3161555485298767,0.3097450559923755,0.3398656982321502,0.1720805866624308,0.2083047827874468
Севастополь,4.333627,1.846518,1.337058,13.549065,2.365723,4.949019,-1.004593,139.3,104.1,101.4,101.2,102.9,36300.0,11.035335,14.130838,14.905913,101.1,103.5,101.3,53.038804,77.046434,10.737205,18.15336,10.971225,-3.775534,295304.9,12.2,10.5,13.3,13.3,90459.0,187776.0,4.312451,54.276176,0.473296,2.044932,3.670899,-8.628356,32.813705,0.158795,0.610853,2.506048,-3.4000000000000004,-0.7999999999999989,-0.0999999999999996,0.7999999999999989,-0.5999999999999996,37.6,5.6,56.7,41.6,7.2,51.1,45.2,2.1,52.7,-1.133248,-10.427066,-9.886481,-2.267522,-0.984298,0.213018,0.4386766587461159,0.4437049362174154,0.392156862745098,0.2748511223087494,0.3515350363252871,0.3550295857988165,0.0,0.0
Республика Дагестан,0.845681,0.722739,0.801393,0.721505,0.655985,6.418171,0.923088,91.1,100.9,96.9,102.5,97.2,31342.0,7.224908,6.359979,14.648375,101.0,102.0,111.6,6.865965,7.559639,2.732332,4.954702,5.471516,3.344053,239640.7,13.7,29.1,27.3,28.3,171054.0,209177.0,20.365499,-4.643742,3.581743,-9.5805,4.134263,-1.647692,11.072348,1.135055,2.467962,2.925687,2.0,1.5,0.0999999999999996,0.0,0.200000000000001,40.9,5.3,53.8,38.3,7.9,53.7,42.1,7.9,50.0,-3.289233,-4.916484,-4.693772,-5.095913,2.175059,-4.678966,0.4074994517944594,0.3722318796765173,0.3100035769643495,0.2877397831526271,0.3295544423938835,0.2924353846815464,0.4547851305035592,0.3891970928482346
Республика Ингушетия,1.914881,1.575319,1.943735,1.676919,1.647516,2.790324,1.583002,100.0,99.3,100.9,101.7,99.7,29648.0,4.687864,1.165066,11.503297,99.3,104.9,104.3,-5.536945,14.052734,3.018382,8.962352,6.421058,-2.417873,142199.7,16.8,17.3,30.8,32.5,41805.0,57605.0,11.465136,-1.358427,1.085609,9.820506,1.322829,-1.912885,13.590204,1.471974,3.142209,3.099275,-0.5999999999999979,0.3000000000000007,0.7999999999999972,0.1000000000000014,-0.5,42.9,6.8,50.2,40.9,7.3,51.8,37.3,12.3,50.4,-6.121743,-1.75611,-1.0375,0.757863,6.092516,0.200874,0.587964030435785,0.5526218838265995,0.375,0.3536693191865605,0.3259370690735866,0.2835873803615739,0.2883289457189419,0.271771239513175
Республика Кабардино-Балкария,0.179503,0.158944,0.246012,0.09685,0.149104,3.215573,2.249232,97.3,99.1,99.8,98.5,98.7,29899.0,3.191795,5.805313,13.141954,96.2,101.6,105.0,2.885694,26.64116,1.261923,3.988565,5.705079,6.822795,210674.1,13.8,14.8,25.4,34.4,116477.0,217260.0,12.561278,4.489429,4.595092,2.761552,5.38962,-0.45495,40.643207,0.423671,1.475266,3.041171,4.699999999999999,-1.1000000000000014,-0.5,0.0,0.0,33.0,13.0,54.0,33.4,14.6,52.1,39.0,9.6,51.4,-3.452918,-9.014847,-1.902272,-8.344821,6.327083,-1.339117,0.3009424249623822,0.3691247641702895,0.2614496934727732,0.1746163036485617,0.2607039005314349,0.2074688796680498,0.2406497543367091,0.3300641267446246
Республика Карачаево-Черкессия,-0.269262,-0.027228,-0.007518,-0.036732,-0.244543,4.265692,0.680091,92.0,98.0,98.5,99.7,97.3,29865.0,5.046073,5.068226,12.333245,97.7,101.4,107.0,3.525396,16.684714,5.574126,3.68793,7.4154,4.96473,207471.5,14.3,15.8,24.6,26.5,78422.0,95066.0,-4.502563,2.057657,4.011409,3.573675,5.18102,-3.567923,13.831048,0.801777,2.60222,4.842973,1.0,-0.6000000000000014,-0.3999999999999986,0.5,-0.1000000000000014,35.6,7.9,56.5,38.2,11.0,50.8,38.3,11.0,50.7,-3.929002,-7.713004,-3.265306,2.672293,0.156556,-12.661196,0.3963467172152335,0.2690582959641255,0.2137998056365403,0.341571227647177,0.2152641878669276,0.2540054708870652,0.3131115459882583,0.2344665885111371
Республика Северная Осетия-Алания,-0.216229,-0.212865,-0.345512,-0.536567,-0.717647,5.052108,-2.318841,95.2,98.7,100.1,101.0,94.6,30479.0,7.236564,8.370604,9.07546,100.2,102.9,103.0,0.088553,18.223563,2.641981,5.918465,7.917238,7.914746,267814.4,14.2,15.1,26.3,25.0,131840.0,193290.0,9.720115,3.521482,4.298526,4.832059,4.28869,-4.267518,18.243326,0.303143,1.464707,4.643494,0.1000000000000014,0.0999999999999996,-0.4000000000000003,-0.1999999999999993,0.0999999999999996,34.3,10.4,55.3,35.7,9.2,55.2,34.0,11.2,54.8,-4.109854,-9.318273,1.423488,-5.822368,-5.029689,-0.809121,0.5705444347741998,0.4033884630899556,0.322508896797153,0.2631578947368421,0.4074979625101874,0.2942258183155572,0.209570380719525,0.1103346818683339
Республика Чечня,1.744476,1.563117,1.49456,1.302878,1.227977,4.056559,1.897423,95.0,96.4,102.3,101.6,100.1,29771.0,2.788737,1.408881,12.59409,95.5,102.0,104.0,1.875439,28.517959,5.50461,2.140113,6.406883,3.895216,171029.5,21.5,20.9,28.2,35.1,88310.0,141300.0,20.185709,2.259365,2.34028,4.237715,3.694043,3.245931,13.992981,1.846165,2.431701,2.032726,1.3000000000000007,3.3999999999999986,-0.1999999999999993,0.1999999999999993,-0.3000000000000007,46.6,6.3,47.2,46.0,5.5,48.5,47.8,8.6,43.5,-6.750476,-0.010036,-0.023419,-5.816016,6.985255,0.777125,0.4398415322706429,0.3813601846586157,0.3412512546002007,0.2409396646923,0.241605969088648,0.3619939556972535,0.3517498667614141,0.239115273488094
Ставропольский край,0.075871,-0.132257,0.298006,-0.384402,-0.450874,4.092618,-1.867356,92.4,102.9,100.7,99.6,94.5,33877.0,6.065821,8.071385,9.082379,99.1,104.7,102.5,14.721779,14.612462,3.246749,6.758592,5.429577,4.41406,308476.2,19.3,19.4,29.4,30.8,165228.0,215801.0,0.843683,-4.717264,7.605724,6.700539,5.113998,-2.928927,16.025786,0.339651,1.39702,4.239689,0.4000000000000003,-0.6999999999999993,-0.4000000000000003,0.0999999999999996,-0.1999999999999993,37.4,3.4,59.1,36.2,7.2,56.6,43.6,5.4,51.0,0.646599,-11.260559,-5.878004,-8.408615,-1.772505,-3.045076,0.4567466431873211,0.5084884769949971,0.4898336414048059,0.3665881120712228,0.3037558517671443,0.2874085931531269,0.2858878604867241,0.2146469240004365
Республика Башкортостан,-0.022667,-0.09046,-0.317304,-0.60337,-0.30166,5.523527,-1.040338,96.2,99.2,99.3,100.6,95.1,38738.0,8.407899,8.004838,11.183214,102.3,103.3,102.5,4.47356,8.035473,4.769323,17.131185,4.389763,-4.999428,425161.0,13.3,12.7,22.9,22.4,191935.0,253472.0,0.408993,2.428394,4.819149,4.765771,6.246598,-1.573497,11.813879,0.277334,0.935633,3.643696,-0.5,-0.1999999999999993,-0.3000000000000007,0.0999999999999996,-0.5,40.8,7.5,51.8,36.6,4.0,59.4,42.9,6.0,51.1,-5.89229,-11.574639,-4.498579,-10.655982,-2.024696,-4.485187,0.408811406176093,0.353629640267107,0.389768574908648,0.2933424028568999,0.3354666793557136,0.2744050509956289,0.2855035568984796,0.3035454103933949
Республика Марий Эл,-0.228385,-0.34337,-0.141539,-0.601251,-0.574088,5.363095,1.917178,95.0,98.6,99.2,100.0,98.3,32278.0,6.187634,9.161124,10.625,99.4,101.9,103.8,19.976958,-0.265678,4.542757,8.477178,6.13839,-3.118335,290803.3,14.7,15.2,24.2,22.4,106277.0,161110.0,4.93898,2.710579,4.720251,5.94468,5.040641,0.898174,19.613637,0.370092,1.293907,5.627778,-0.0999999999999978,-0.4000000000000021,-1.3000000000000007,-0.2999999999999971,-0.6000000000000014,31.2,4.0,64.8,33.9,6.7,59.4,43.8,3.3,52.9,-3.858909,-14.842688,-8.70259,-10.325356,-0.41979,-3.417645,0.4421666164204602,0.2613149367617853,0.3068614213821038,0.2554450121000269,0.3598200899550224,0.3011141222523336,0.0899550224887556,0.1656127672387835
Республика Мордовия,-0.177404,-0.431023,-0.667124,-1.421418,-1.064489,5.881722,4.471339,96.3,99.9,99.4,101.3,100.7,31105.0,5.447365,4.72685,9.803922,100.1,104.2,105.1,4.0284,23.838608,5.886135,4.907484,8.198292,3.208263,342811.2,12.8,13.3,19.2,22.5,89808.0,150613.0,7.314493,5.408967,6.630574,5.878552,7.479903,3.288636,18.288344,0.284037,1.40293,5.327292,-1.3000000000000007,-0.3000000000000007,-0.3999999999999986,0.1999999999999993,-0.3999999999999986,35.3,6.2,58.6,38.0,4.2,57.8,26.8,12.1,61.2,1.411495,-13.680251,-3.660662,-10.193004,-6.682337,-5.487585,0.2416073245167853,0.2382445141065831,0.2905287623474724,0.2563329312424608,0.2686366689053056,0.1619287513494062,0.1678979180658159,0.1439366678661389
Республика Татарстан,0.355198,0.232443,0.109269,-0.224654,-0.198376,5.876946,-0.201641,96.2,96.6,101.7,101.8,96.7,39761.0,3.695063,6.948121,8.810791,98.3,102.2,103.1,11.945925,9.793016,9.67268,15.614561,6.481436,-5.737615,675621.4,9.8,9.6,14.2,13.7,203038.0,279262.0,-1.004246,2.870661,4.931107,8.466803,3.780568,-2.41983,17.178439,0.313504,1.202683,4.282529,0.4000000000000003,-0.2999999999999998,-0.2000000000000001,-0.0999999999999996,-0.3000000000000007,42.7,9.9,47.4,36.8,9.6,53.6,42.5,7.3,50.2,-1.838345,-13.854224,-3.730645,-7.446028,-2.969373,-1.591423,0.4604650345348776,0.3831486222763325,0.3907305414112023,0.3475820379965457,0.3755452403722796,0.3125150247608058,0.1142963775046068,0.096158469157171
Республика Удмуртия,-0.020297,-0.249336,-0.426897,-0.506278,-0.595705,5.199983,1.527966,93.4,98.5,96.9,101.3,97.9,36380.0,8.095084,8.623984,9.701673,103.7,103.5,103.4,14.966519,10.111289,3.961019,15.206012,6.516062,-5.853664,451490.9,13.6,13.7,22.3,23.1,129660.0,178357.0,5.229832,1.986206,5.053503,5.785214,4.464563,-0.90316,11.413936,0.298088,1.026434,4.092397,0.0999999999999996,-0.200000000000001,0.0,0.200000000000001,-0.5,32.9,8.7,58.4,43.9,6.1,50.0,45.2,7.6,47.2,-5.275963,-14.602359,-8.432661,-11.180049,-0.390357,-1.870058,0.3379139445821131,0.2711187214611872,0.3230477887935836,0.2554744525547445,0.2533899465826599,0.2750085940185631,0.198602931105328,0.1581299415606737
Республика Чувашия,-0.116552,-0.384023,-0.455863,-0.81646,-0.782035,9.208103,4.925107,92.0,99.1,100.0,104.1,101.4,31844.0,7.202022,7.080496,10.216062,101.5,105.1,104.3,5.980487,13.372664,4.39445,7.327119,7.894183,3.179852,287210.3,17.5,25.7,22.6,24.9,106444.0,166150.0,3.818909,0.402682,3.891703,7.988063,9.488271,3.868928,17.36741,0.292967,1.016831,3.753831,0.9000000000000021,-0.4000000000000021,-0.5999999999999979,-0.4000000000000021,-0.5999999999999979,33.2,7.4,59.5,40.5,7.3,52.2,35.7,3.9,60.4,-4.288715,-14.972871,-6.352621,-10.703621,-3.052388,-2.149111,0.1867195705449877,0.2194720477961348,0.2151000215100021,0.2985988821682872,0.2229272056932178,0.1503493411161227,0.0857412329589299,0.0619085522242858
Пермский край,-0.099468,-0.340983,-0.44201,-0.769411,-0.868815,6.548697,-1.219432,81.6,99.2,98.8,101.9,95.1,41958.0,7.441812,7.507096,8.648944,99.9,105.2,103.7,9.232229,7.983694,8.789242,14.662308,5.563659,-5.569684,541930.2,17.1,17.9,25.6,23.0,184849.0,239837.0,-1.880454,1.115932,4.241073,7.406826,5.445248,-1.087218,11.988588,0.30475,0.977413,4.808061,2.5,-0.200000000000001,-0.1999999999999993,-1.0999999999999996,-0.5,41.0,4.2,54.8,38.7,6.0,55.3,40.9,6.8,52.2,-3.883921,-14.184587,-7.752156,-9.484131,-4.468061,-1.578597,0.3968969871910517,0.3834396953933608,0.3843269591301087,0.3590421027673339,0.3031096807993115,0.3447060206040189,0.1197470343898514,0.1214305299855066
Кировская область,-0.527007,-0.653875,-0.763064,-0.968709,-1.23127,6.099699,2.491103,92.8,98.9,98.6,101.2,97.8,32692.0,5.814269,7.737994,10.775332,99.7,104.1,104.1,11.634097,11.650393,6.396347,7.299798,5.671173,7.866028,315153.9,17.9,18.4,26.0,27.6,126231.0,190042.0,6.492066,1.818101,4.618251,6.858671,5.462317,1.148912,16.430182,0.263043,1.115988,6.520595,0.5999999999999996,-0.5,-0.200000000000001,-0.5999999999999996,-0.5999999999999996,37.6,4.9,57.5,35.9,8.0,56.0,38.0,3.9,58.1,-1.250453,-15.782712,-7.866638,-11.707663,-5.179034,-3.474903,0.2778784583786396,0.3548051630268551,0.3123411055422386,0.2680542415641753,0.2500223234217341,0.2919295602222431,0.0803643182427002,0.0847537432903286
Нижегородская область,-0.303834,-0.399081,-0.363246,-0.824054,-1.016763,7.67002,-0.50862,94.2,96.4,99.4,102.5,95.2,37601.0,7.242929,7.000246,8.431237,101.2,102.4,102.8,9.784876,16.524911,8.62459,8.785991,8.507415,-1.590946,497418.6,18.1,18.2,23.0,22.2,190206.0,278659.0,0.655079,4.780833,7.182772,6.580037,6.170744,-2.587309,17.573668,0.298417,1.114859,5.851945,-0.0999999999999996,0.1999999999999993,-0.5,0.0,-0.0999999999999996,38.7,10.9,50.4,40.1,5.6,54.3,31.9,9.7,58.5,-3.429697,-11.579192,-6.479128,-9.489302,-4.586396,-5.52662,0.5063480581676686,0.5372455832214071,0.4177255864224578,0.4404185538029049,0.3692583773337474,0.3689236111111111,0.1345895020188425,0.0940393518518518
Оренбургская область,-0.317224,-0.596555,-0.314416,-0.711353,-0.943788,4.695318,0.963934,92.0,99.9,99.0,99.9,97.7,35075.0,6.579643,4.715937,10.661323,102.0,103.9,103.8,6.339818,5.440194,7.589999,22.086965,5.15347,-4.589502,538971.9,19.1,27.5,26.5,26.6,134482.0,198494.0,3.603456,-0.944534,7.389213,5.451049,6.979378,1.327177,17.163668,0.348544,1.299142,6.098324,0.6999999999999993,-0.2999999999999989,-0.1000000000000014,0.1000000000000014,-0.3000000000000007,39.6,8.6,51.8,45.0,4.6,50.3,44.0,4.5,51.5,-5.820199,-14.447054,-4.600706,-10.330182,-4.354469,-3.477103,0.354547688419279,0.3503671400350367,0.3616085043349453,0.2694433027355345,0.2088107970460911,0.20234291799787,0.2444614209320091,0.1650692225772098
Пензенская область,-0.510099,-0.735804,-0.951367,-1.12327,-1.304208,5.343056,5.002395,90.6,100.4,98.7,100.1,100.4,32766.0,9.248879,3.556064,10.404756,103.4,101.9,102.9,16.799385,4.895101,5.642971,10.260167,10.318442,10.97731,379820.4,16.2,16.0,25.4,22.4,133259.0,199270.0,6.204459,-1.04927,6.410934,4.48933,6.515317,3.263091,16.350494,0.244965,1.145863,4.685957,0.4000000000000003,-0.6000000000000014,-0.6999999999999993,0.0999999999999996,-0.5999999999999996,39.1,8.8,52.1,34.1,8.9,57.1,43.3,7.5,49.3,-5.418277,-12.668759,-4.236651,-9.554974,-6.772793,-3.228811,0.3036996134732192,0.4232649784718674,0.3008272750062672,0.2617801047120419,0.3376748673420164,0.258718824381662,0.2122527737578388,0.1862775535547966
